Name,ASCII Name,Country Code,Population,Timezone,Latitude,Longitude
les Escaldes,les Escaldes,AD,15853,Europe/Andorra,42.50729,1.53414
Andorra la Vella,Andorra la Vella,AD,20430,Europe/Andorra,42.50779,1.52109
Warīsān,Warisan,AE,108759,Asia/Dubai,25.16744,55.40708
Umm Suqaym,Umm Suqaym,AE,16459,Asia/Dubai,25.15491,55.21015
Umm Al Quwain City,Umm Al Quwain City,AE,59098,Asia/Dubai,25.56473,55.55517
Ţarīf Kalbā,Tarif Kalba,AE,51000,Asia/Dubai,25.0695,56.33115
Ar Rāshidīyah,Ar Rashidiyah,AE,38425,Asia/Dubai,25.22499,55.38947
Ras Al Khaimah,Ras Al Khaimah,AE,351943,Asia/Dubai,25.78953,55.9432
Zayed City,Zayed City,AE,63482,Asia/Dubai,23.65416,53.70522
Khawr Fakkān,Khawr Fakkan,AE,40677,Asia/Dubai,25.33132,56.34199
Kalbā,Kalba,AE,37545,Asia/Dubai,25.0513,56.35422
Jumayrā,Jumayra,AE,39080,Asia/Dubai,25.20795,55.24969
Dubai,Dubai,AE,3790000,Asia/Dubai,25.07725,55.30927
Dibba Al-Fujairah,Dibba Al-Fujairah,AE,30000,Asia/Dubai,25.59246,56.26176
Dibba Al-Hisn,Dibba Al-Hisn,AE,26395,Asia/Dubai,25.61955,56.27291
Dayrah,Dayrah,AE,400000,Asia/Dubai,25.27143,55.30207
Sharjah,Sharjah,AE,1800000,Asia/Dubai,25.3342,55.41221
Ar Ruways,Ar Ruways,AE,25000,Asia/Dubai,24.11028,52.73056
Ḩattā,Hatta,AE,15324,Asia/Dubai,24.80073,56.12726
Fujairah,Fujairah,AE,118933,Asia/Dubai,25.11641,56.34141
Al Ain City,Al Ain City,AE,846747,Asia/Dubai,24.19167,55.76056
Ajman,Ajman,AE,490035,Asia/Dubai,25.40177,55.47878
Adh Dhayd,Adh Dhayd,AE,20165,Asia/Dubai,25.28812,55.88157
Abu Dhabi,Abu Dhabi,AE,1807000,Asia/Dubai,24.45118,54.39696
Abū Hayl,Abu Hayl,AE,18043,Asia/Dubai,25.28413,55.33153
As Saţwah,As Satwah,AE,40997,Asia/Dubai,25.22192,55.27459
Al Ḩamīdīyah,Al Hamidiyah,AE,27000,Asia/Dubai,25.40001,55.52925
Al Waheda,Al Waheda,AE,21608,Asia/Dubai,25.29173,55.33822
Al Karama,Al Karama,AE,75560,Asia/Dubai,25.24004,55.30106
The Palm Jumeirah,The Palm Jumeirah,AE,25500,Asia/Dubai,25.11607,55.13506
Bur Dubai,Bur Dubai,AE,18698,Asia/Dubai,25.26038,55.29891
Khalifah A City,Khalifah A City,AE,85374,Asia/Dubai,24.42588,54.605
Mirdif,Mirdif,AE,60288,Asia/Dubai,25.22443,55.41412
Hawr al ‘Anz,Hawr al 'Anz,AE,84661,Asia/Dubai,25.27744,55.33675
Mankhūl,Mankhul,AE,41244,Asia/Dubai,25.24612,55.29222
Nāyf,Nayf,AE,53075,Asia/Dubai,25.27139,55.30323
Al Murar al Qadīm,Al Murar al Qadim,AE,19831,Asia/Dubai,25.27576,55.30738
Al Warqaa,Al Warqaa,AE,59111,Asia/Dubai,25.19272,55.42013
International City,International City,AE,120000,Asia/Dubai,25.16383,55.40987
Dubai Marina,Dubai Marina,AE,120000,Asia/Dubai,25.08525,55.14646
Dubai Internet City,Dubai Internet City,AE,24000,Asia/Dubai,25.09538,55.16171
Al Safa,Al Safa,AE,15672,Asia/Dubai,25.17047,55.23336
Ar Rumaylah,Ar Rumaylah,AE,86000,Asia/Dubai,25.40338,55.4334
Al Jurf,Al Jurf,AE,18000,Asia/Dubai,25.41814,55.50791
Al Majaz,Al Majaz,AE,116503,Asia/Dubai,25.32354,55.38774
Dubai Festival City,Dubai Festival City,AE,77000,Asia/Dubai,25.22177,55.35733
Dubai International Financial Centre,Dubai International Financial Centre,AE,36000,Asia/Dubai,25.2106,55.27787
Dubai Investments Park,Dubai Investments Park,AE,160000,Asia/Dubai,25.00827,55.15682
Jebel Ali,Jebel Ali,AE,210000,Asia/Dubai,25.00255,55.10811
Bani Yas City,Bani Yas City,AE,80498,Asia/Dubai,24.30978,54.62944
Musaffah,Musaffah,AE,243341,Asia/Dubai,24.35893,54.48267
Al Shamkhah City,Al Shamkhah City,AE,61710,Asia/Dubai,24.39268,54.70779
Reef Al Fujairah City,Reef Al Fujairah City,AE,82310,Asia/Dubai,25.14479,56.24764
Al Bada'a,Al Bada'a,AE,18816,Asia/Dubai,25.22462,55.26888
Al Muteena,Al Muteena,AE,48739,Asia/Dubai,25.27375,55.32265
Al Mizhar First,Al Mizhar First,AE,17498,Asia/Dubai,25.24805,55.44128
Dubai Silicon Oasis,Dubai Silicon Oasis,AE,90000,Asia/Dubai,25.11985,55.38718
Al Furjan,Al Furjan,AE,26000,Asia/Dubai,25.02651,55.14565
Business Bay,Business Bay,AE,191000,Asia/Dubai,25.18544,55.26969
Al Qusais 1,Al Qusais 1,AE,48378,Asia/Dubai,25.27925,55.36995
Halwan,Halwan,AE,19389,Asia/Dubai,25.34586,55.42165
Al Sajaah,Al Sajaah,AE,53079,Asia/Dubai,25.31532,55.63211
Lahbab,Lahbab,AE,53079,Asia/Dubai,25.03763,55.59135
Mohammed Bin Zayed City,Mohammed Bin Zayed City,AE,85000,Asia/Dubai,24.34794,54.55368
Zaranj,Zaranj,AF,49851,Asia/Kabul,30.95962,61.86037
Bāzār-e Yakāwlang,Bazar-e Yakawlang,AF,65000,Asia/Kabul,34.73525,66.97379
Taloqan,Taloqan,AF,64256,Asia/Kabul,36.73605,69.53451
Shīnḏanḏ,Shindand,AF,29264,Asia/Kabul,33.30294,62.1474
Shibirghān,Shibirghan,AF,55641,Asia/Kabul,36.66757,65.7529
Shahrak,Shahrak,AF,15967,Asia/Kabul,34.10737,64.3052
Sar-e Pul,Sar-e Pul,AF,52121,Asia/Kabul,36.21544,65.93249
Sang-e Chārak,Sang-e Charak,AF,15377,Asia/Kabul,35.84972,66.43694
Aībak,Aibak,AF,47823,Asia/Kabul,36.26468,68.01551
Rustāq,Rustaq,AF,25636,Asia/Kabul,37.12604,69.83045
Qarqīn,Qarqin,AF,15018,Asia/Kabul,37.41853,66.04358
Qarāwul,Qarawul,AF,24544,Asia/Kabul,37.21959,68.7802
Pul-e Khumrī,Pul-e Khumri,AF,56369,Asia/Kabul,35.94458,68.71512
Paghmān,Paghman,AF,49157,Asia/Kabul,34.58787,68.95091
Nīlī,Nili,AF,30058,Asia/Kabul,33.72178,66.13023
Nahrīn,Nahrin,AF,22363,Asia/Kabul,36.0649,69.13343
Maymana,Maymana,AF,75900,Asia/Kabul,35.92139,64.78361
Mehtar Lām,Mehtar Lam,AF,17345,Asia/Kabul,34.67139,70.20944
Mazār-e Sharīf,Mazar-e Sharif,AF,523300,Asia/Kabul,36.70904,67.11087
Lashkar Gāh,Lashkar Gah,AF,43934,Asia/Kabul,31.59382,64.37161
Kushk,Kushk,AF,16952,Asia/Kabul,33.29565,61.95221
Kunduz,Kunduz,AF,161902,Asia/Kabul,36.72895,68.857
Khōst,Khost,AF,96123,Asia/Kabul,33.33951,69.92041
Khulm,Khulm,AF,64933,Asia/Kabul,36.69736,67.69826
Khāsh,Khash,AF,15133,Asia/Kabul,31.52919,62.79055
Khān Neshīn,Khan Neshin,AF,25600,Asia/Kabul,30.5488,63.7888
Khanabad,Khanabad,AF,71531,Asia/Kabul,36.68304,69.11279
Karukh,Karukh,AF,17484,Asia/Kabul,34.48108,62.5863
Kandahār,Kandahar,AF,523300,Asia/Kabul,31.61332,65.71013
Kabul,Kabul,AF,4434550,Asia/Kabul,34.52813,69.17233
Jalālābād,Jalalabad,AF,271900,Asia/Kabul,34.42647,70.45153
Jabal os Saraj,Jabal os Saraj,AF,15032,Asia/Kabul,35.11833,69.23778
Herāt,Herat,AF,574300,Asia/Kabul,34.34817,62.19967
Ghormach,Ghormach,AF,30000,Asia/Kabul,35.73062,63.78264
Ghazni,Ghazni,AF,141000,Asia/Kabul,33.55391,68.42096
Gereshk,Gereshk,AF,43588,Asia/Kabul,31.82089,64.57005
Gardez,Gardez,AF,103601,Asia/Kabul,33.59744,69.22592
Fayzabad,Fayzabad,AF,44421,Asia/Kabul,37.11664,70.58002
Farah,Farah,AF,43561,Asia/Kabul,32.37451,62.11638
Eslam Qaleh,Eslam Qaleh,AF,18086,Asia/Kabul,34.66667,61.06667
Charikar,Charikar,AF,53676,Asia/Kabul,35.01361,69.17139
Baraki Barak,Baraki Barak,AF,22305,Asia/Kabul,33.96744,68.9492
Bāmyān,Bamyan,AF,61863,Asia/Kabul,34.82156,67.82734
Balkh,Balkh,AF,114883,Asia/Kabul,36.75635,66.8972
Baghlān,Baghlan,AF,108449,Asia/Kabul,36.13068,68.70829
Ārt Khwājah,Art Khwajah,AF,18623,Asia/Kabul,37.08571,69.47958
Āsmār,Asmar,AF,15708,Asia/Kabul,35.03333,71.35809
Asadābād,Asadabad,AF,48400,Asia/Kabul,34.87311,71.14697
Andkhōy,Andkhoy,AF,29208,Asia/Kabul,36.95293,65.12376
Bāzārak,Bazarak,AF,65000,Asia/Kabul,35.31292,69.51519
Markaz-e Woluswalī-ye Āchīn,Markaz-e Woluswali-ye Achin,AF,15098,Asia/Kabul,34.12583,70.70778
Saint John’s,Saint John's,AG,24226,America/Antigua,17.12096,-61.84329
The Valley,The Valley,AI,2035,America/Anguilla,18.21704,-63.05783
Sarandë,Sarande,AL,22613,Europe/Tirane,39.87534,20.00477
Pogradec,Pogradec,AL,46070,Europe/Tirane,40.9025,20.6525
Librazhd,Librazhd,AL,23312,Europe/Tirane,41.17944,20.315
Kukës,Kukes,AL,36125,Europe/Tirane,42.07694,20.42194
Korçë,Korce,AL,58259,Europe/Tirane,40.61861,20.78083
Gjirokastër,Gjirokaster,AL,23437,Europe/Tirane,40.07583,20.13889
Elbasan,Elbasan,AL,100903,Europe/Tirane,41.11138,20.08224
Bulqizë,Bulqize,AL,26826,Europe/Tirane,41.49167,20.22194
Vlorë,Vlore,AL,115261,Europe/Tirane,40.4696,19.48379
Tirana,Tirana,AL,418495,Europe/Tirane,41.32744,19.81866
Shkodër,Shkoder,AL,95553,Europe/Tirane,42.06828,19.51258
Peqin,Peqin,AL,16580,Europe/Tirane,41.04611,19.75111
Patos Fshat,Patos Fshat,AL,22679,Europe/Tirane,40.64278,19.65083
Patos,Patos,AL,16000,Europe/Tirane,40.68333,19.61944
Lushnjë,Lushnje,AL,63135,Europe/Tirane,40.94194,19.705
Lezhë,Lezhe,AL,18695,Europe/Tirane,41.78361,19.64361
Kuçovë,Kucove,AL,31077,Europe/Tirane,40.80028,19.91667
Krujë,Kruje,AL,51191,Europe/Tirane,41.50917,19.79278
Kavajë,Kavaje,AL,30012,Europe/Tirane,41.18556,19.55694
Fier-Çifçi,Fier-Cifci,AL,60995,Europe/Tirane,40.71667,19.56667
Fier,Fier,AL,56297,Europe/Tirane,40.7251,19.55823
Durrës,Durres,AL,195920,Europe/Tirane,41.32355,19.45469
Berat,Berat,AL,62232,Europe/Tirane,40.70583,19.95222
Kapan,Kapan,AM,32900,Asia/Yerevan,39.20762,46.40678
Goris,Goris,AM,17483,Asia/Yerevan,39.51111,46.34168
Artashat,Artashat,AM,22800,Asia/Yerevan,39.95484,44.54874
Ararat,Ararat,AM,16986,Asia/Yerevan,39.85494,44.6947
Yerevan,Yerevan,AM,1141100,Asia/Yerevan,40.17765,44.5126
Vagharshapat,Vagharshapat,AM,45842,Asia/Yerevan,40.16557,44.29462
Sevan,Sevan,AM,18951,Asia/Yerevan,40.548,44.95314
Masis,Masis,AM,20774,Asia/Yerevan,40.06595,44.43669
Vanadzor,Vanadzor,AM,78100,Asia/Yerevan,40.8074,44.49704
Gavar,Gavar,AM,18900,Asia/Yerevan,40.35398,45.12386
Ijevan,Ijevan,AM,19500,Asia/Yerevan,40.88037,45.14776
Hrazdan,Hrazdan,AM,49500,Asia/Yerevan,40.5169,44.75591
Armavir,Armavir,AM,29700,Asia/Yerevan,40.15553,44.0388
Gyumri,Gyumri,AM,112301,Asia/Yerevan,40.79305,43.84635
Dilijan,Dilijan,AM,16400,Asia/Yerevan,40.74037,44.86344
Davtashen,Davtashen,AM,51800,Asia/Yerevan,40.21642,44.48088
Charentsavan,Charentsavan,AM,22763,Asia/Yerevan,40.40289,44.64447
Avan,Avan,AM,58700,Asia/Yerevan,40.21436,44.57846
Ashtarak,Ashtarak,AM,17600,Asia/Yerevan,40.2976,44.36152
Artik,Artik,AM,17950,Asia/Yerevan,40.61918,43.97207
Abovyan,Abovyan,AM,47546,Asia/Yerevan,40.2717,44.63342
Erebuni,Erebuni,AM,129500,Asia/Yerevan,40.13309,44.53009
Nor Nork,Nor Nork,AM,136900,Asia/Yerevan,40.19661,44.5669
Ajapnyak,Ajapnyak,AM,122300,Asia/Yerevan,40.19917,44.47056
Kanaker-Zeytun,Kanaker-Zeytun,AM,75000,Asia/Yerevan,40.22,44.53833
Malatia-Sebastia,Malatia-Sebastia,AM,150000,Asia/Yerevan,40.17396,44.4457
Kentron,Kentron,AM,132800,Asia/Yerevan,40.17806,44.51303
Shengavit,Shengavit,AM,140400,Asia/Yerevan,40.1557,44.4779
Arabkir,Arabkir,AM,118870,Asia/Yerevan,40.20624,44.50365
Saurimo,Saurimo,AO,393000,Africa/Luanda,-9.66078,20.39155
Lucapa,Lucapa,AO,110000,Africa/Luanda,-8.41915,20.74466
Dundo,Dundo,AO,177604,Africa/Luanda,-7.36643,20.81557
Chitato,Chitato,AO,246880,Africa/Luanda,-7.3,20.73333
Cassanguidi,Cassanguidi,AO,20000,Africa/Luanda,-7.48367,21.30339
Lumbala,Lumbala,AO,19000,Africa/Luanda,-14.10165,21.43531
Luau,Luau,AO,55432,Africa/Luanda,-10.70727,22.22466
Cazombo,Cazombo,AO,34000,Africa/Luanda,-11.89914,22.90216
Nzagi,Nzagi,AO,60000,Africa/Luanda,-8.38549,15.30126
Uíge,Uige,AO,322531,Africa/Luanda,-7.60874,15.06131
Tombôco,Tomboco,AO,20358,Africa/Luanda,-6.80517,13.33017
Soyo,Soyo,AO,200920,Africa/Luanda,-6.1349,12.36894
Songo,Songo,AO,31382,Africa/Luanda,-7.35207,14.84629
Sanza Pombo,Sanza Pombo,AO,23000,Africa/Luanda,-7.31473,16.0024
N'zeto,N'zeto,AO,28840,Africa/Luanda,-7.228,12.86956
Negage,Negage,AO,92950,Africa/Luanda,-7.75938,15.2722
N'dalatando,N'dalatando,AO,161584,Africa/Luanda,-9.29782,14.91162
Mussende,Mussende,AO,33558,Africa/Luanda,-10.5143,16.0199
Mbanza Kongo,Mbanza Kongo,AO,148000,Africa/Luanda,-6.26667,14.23833
Maquela do Zombo,Maquela do Zombo,AO,42000,Africa/Luanda,-6.05716,15.10971
Malanje,Malanje,AO,455000,Africa/Luanda,-9.54015,16.34096
Lucala,Lucala,AO,19422,Africa/Luanda,-9.27268,15.25206
Lubalo,Lubalo,AO,26103,Africa/Luanda,-9.15445,19.28136
Luanda,Luanda,AO,2776168,Africa/Luanda,-8.83682,13.23432
Cunda diá Baze,Cunda dia Baze,AO,15965,Africa/Luanda,-8.90769,17.05339
Golungo Alto,Golungo Alto,AO,19992,Africa/Luanda,-9.13333,14.76667
Dondo,Dondo,AO,64643,Africa/Luanda,-9.68456,14.42788
Dondo,Dondo,AO,64643,Africa/Luanda,-9.05,15.31667
Cuímba,Cuimba,AO,41878,Africa/Luanda,-6.12085,14.62086
Cuilo,Cuilo,AO,26577,Africa/Luanda,-8.23619,19.52566
Cuango-Luzamba,Cuango-Luzamba,AO,55000,Africa/Luanda,-9.14583,18.04453
Cazombo,Cazombo,AO,34000,Africa/Luanda,-8.73204,15.37124
Caxito,Caxito,AO,55000,Africa/Luanda,-8.57848,13.66425
Cangandala,Cangandala,AO,16232,Africa/Luanda,-9.78333,16.43333
Camabatela,Camabatela,AO,21767,Africa/Luanda,-8.18812,15.37495
Cacuso,Cacuso,AO,39302,Africa/Luanda,-9.42102,15.74668
Cabinda,Cabinda,AO,550000,Africa/Luanda,-5.56198,12.19476
Buco Zau,Buco Zau,AO,40953,Africa/Luanda,-4.76667,12.55
Belize,Belize,AO,24430,Africa/Luanda,-4.65,12.76667
Barra do Dande,Barra do Dande,AO,75000,Africa/Luanda,-8.47175,13.37011
Bailundo,Bailundo,AO,70481,Africa/Luanda,-9.57499,15.99442
Gama,Gama,AO,66202,Africa/Luanda,-8.5675,13.47639
Xangongo,Xangongo,AO,35000,Africa/Luanda,-16.7444,14.97494
Alto Hama,Alto Hama,AO,17000,Africa/Luanda,-12.23333,15.55
Virei,Virei,AO,42607,Africa/Luanda,-15.727,12.94961
Ucuma,Ucuma,AO,21809,Africa/Luanda,-12.96121,15.05958
Ucu Seles,Ucu Seles,AO,47421,Africa/Luanda,-11.41237,14.30663
Tômbua,Tombua,AO,46573,Africa/Luanda,-15.80394,11.84485
Sumbe,Sumbe,AO,205832,Africa/Luanda,-11.20605,13.84371
Quipungo,Quipungo,AO,23014,Africa/Luanda,-14.81909,14.53504
Quibala,Quibala,AO,27128,Africa/Luanda,-10.73366,14.97995
Porto Amboim,Porto Amboim,AO,91605,Africa/Luanda,-10.73251,13.76844
Ondjiva,Ondjiva,AO,121537,Africa/Luanda,-17.06667,15.73333
Nharêa,Nharea,AO,18000,Africa/Luanda,-11.47512,16.96496
Mossamedes,Mossamedes,AO,255000,Africa/Luanda,-15.19611,12.15222
Mungo,Mungo,AO,21662,Africa/Luanda,-11.83268,16.23613
Menongue,Menongue,AO,251178,Africa/Luanda,-14.6585,17.69099
Matala,Matala,AO,78000,Africa/Luanda,-14.73272,15.03479
Luquembo,Luquembo,AO,69420,Africa/Luanda,-10.73912,17.71766
Luena,Luena,AO,273675,Africa/Luanda,-11.78333,19.91667
Lubango,Lubango,AO,600751,Africa/Luanda,-14.91717,13.4925
Longonjo,Longonjo,AO,23000,Africa/Luanda,-12.90795,15.24845
Londuimbali,Londuimbali,AO,17000,Africa/Luanda,-12.23712,15.31697
Lobito,Lobito,AO,357950,Africa/Luanda,-12.3644,13.53601
Cuíto,Cuito,AO,355423,Africa/Luanda,-12.38333,16.93333
Catchiungo,Catchiungo,AO,26974,Africa/Luanda,-12.56598,16.22589
Humbe,Humbe,AO,35985,Africa/Luanda,-16.6864,14.90317
Huambo,Huambo,AO,595304,Africa/Luanda,-12.77611,15.73917
Ganda,Ganda,AO,65000,Africa/Luanda,-13.01592,14.63502
Gabela,Gabela,AO,116903,Africa/Luanda,-10.85147,14.37993
Dombe Grande,Dombe Grande,AO,25000,Africa/Luanda,-12.95167,13.1025
Cuemba,Cuemba,AO,19995,Africa/Luanda,-12.15,18.08333
Cubal,Cubal,AO,90367,Africa/Luanda,-13.03865,14.2455
Conda,Conda,AO,21260,Africa/Luanda,-11.10862,14.33621
Chitembo,Chitembo,AO,25000,Africa/Luanda,-13.55,16.63333
Chinguar,Chinguar,AO,26811,Africa/Luanda,-12.55708,16.33805
Cela,Cela,AO,90000,Africa/Luanda,-11.42173,15.12345
Catumbela,Catumbela,AO,95034,Africa/Luanda,-12.43002,13.54677
Catabola,Catabola,AO,28831,Africa/Luanda,-12.15,17.28333
Capunda,Capunda,AO,21260,Africa/Luanda,-11.13333,14.46667
Camucuio,Camucuio,AO,66112,Africa/Luanda,-14.11667,13.25
Cambundi Catembo,Cambundi Catembo,AO,17212,Africa/Luanda,-10.07531,17.55058
Camacupa,Camacupa,AO,59000,Africa/Luanda,-12.01667,17.48333
Caluquembe,Caluquembe,AO,31000,Africa/Luanda,-13.86667,14.43333
Calulo,Calulo,AO,44000,Africa/Luanda,-10.00055,14.89519
Caála,Caala,AO,130000,Africa/Luanda,-12.8525,15.56056
Bocoio,Bocoio,AO,35000,Africa/Luanda,-12.47017,14.13688
Benguela,Benguela,AO,555124,Africa/Luanda,-12.57674,13.40268
Balombo,Balombo,AO,36361,Africa/Luanda,-12.35426,14.77232
Baía Farta,Baia Farta,AO,45000,Africa/Luanda,-12.60417,13.19667
Andulo,Andulo,AO,50000,Africa/Luanda,-11.48676,16.69663
Cambundi,Cambundi,AO,17212,Africa/Luanda,-7.46856,17.03769
Cafunfo,Cafunfo,AO,90000,Africa/Luanda,-8.7672,17.99572
Santa Clara,Santa Clara,AO,29000,Africa/Luanda,-10.19156,15.43408
Quissecula,Quissecula,AO,90000,Africa/Luanda,-11.39223,15.09201
Cambundi,Cambundi,AO,17212,Africa/Luanda,-10.89481,17.76402
Zárate,Zarate,AR,99061,America/Argentina/Buenos_Aires,-34.09584,-59.02423
Colonia Wanda,Colonia Wanda,AR,15529,America/Argentina/Cordoba,-25.97337,-54.56304
Villa Ortúzar,Villa Ortuzar,AR,22500,America/Argentina/Buenos_Aires,-34.57973,-58.46829
Villa Ocampo,Villa Ocampo,AR,19101,America/Argentina/Cordoba,-28.48726,-59.35421
Villa Lugano,Villa Lugano,AR,114000,America/Argentina/Buenos_Aires,-34.67907,-58.47263
Villaguay,Villaguay,AR,32027,America/Argentina/Cordoba,-31.86767,-59.02701
Villa Gesell,Villa Gesell,AR,23257,America/Argentina/Buenos_Aires,-37.26394,-56.97304
Villa de Mayo,Villa de Mayo,AR,43405,America/Argentina/Buenos_Aires,-34.5108,-58.68059
Tortuguitas,Tortuguitas,AR,41390,America/Argentina/Buenos_Aires,-34.47513,-58.75367
Tigre,Tigre,AR,31106,America/Argentina/Buenos_Aires,-34.42603,-58.57962
Tandil,Tandil,AR,115877,America/Argentina/Buenos_Aires,-37.3287,-59.1369
San Vicente,San Vicente,AR,38247,America/Argentina/Cordoba,-26.61667,-54.13333
Santo Tomé,Santo Tome,AR,22634,America/Argentina/Cordoba,-28.55104,-56.04125
Santos Lugares,Santos Lugares,AR,37267,America/Argentina/Buenos_Aires,-34.60306,-58.54074
Santa Elena,Santa Elena,AR,18410,America/Argentina/Cordoba,-30.94432,-59.78832
San Pedro,San Pedro,AR,47452,America/Argentina/Buenos_Aires,-33.67918,-59.66633
San Pedro,San Pedro,AR,23736,America/Argentina/Cordoba,-26.6218,-54.10902
San Luis del Palmar,San Luis del Palmar,AR,15347,America/Argentina/Cordoba,-27.50766,-58.55625
San Lorenzo,San Lorenzo,AR,47626,America/Argentina/Cordoba,-28.13442,-58.76685
San Javier,San Javier,AR,15606,America/Argentina/Cordoba,-30.58072,-59.92962
San Isidro,San Isidro,AR,45190,America/Argentina/Buenos_Aires,-34.46971,-58.52111
San Antonio de Padua,San Antonio de Padua,AR,37745,America/Argentina/Buenos_Aires,-34.66267,-58.69819
Saladillo,Saladillo,AR,35669,America/Argentina/Buenos_Aires,-35.63884,-59.77938
Saladas,Saladas,AR,18349,America/Argentina/Cordoba,-28.25504,-58.62386
Retiro,Retiro,AR,38635,America/Argentina/Buenos_Aires,-34.58333,-58.38333
Resistencia,Resistencia,AR,290793,America/Argentina/Cordoba,-27.46363,-58.98665
Reconquista,Reconquista,AR,90184,America/Argentina/Cordoba,-29.15,-59.65
Quilmes,Quilmes,AR,262379,America/Argentina/Buenos_Aires,-34.72065,-58.25454
Puerto Rico,Puerto Rico,AR,17491,America/Argentina/Cordoba,-26.8089,-55.02147
Puerto Iguazú,Puerto Iguazu,AR,32038,America/Argentina/Cordoba,-25.59912,-54.57355
Puerto Esperanza,Puerto Esperanza,AR,15579,America/Argentina/Cordoba,-26.02267,-54.61356
Puerto Eldorado,Puerto Eldorado,AR,54189,America/Argentina/Cordoba,-26.40843,-54.69463
Posadas,Posadas,AR,305874,America/Argentina/Cordoba,-27.39184,-55.92379
Pontevedra,Pontevedra,AR,33515,America/Argentina/Buenos_Aires,-34.74947,-58.70158
Pirané,Pirane,AR,19124,America/Argentina/Cordoba,-25.73271,-59.10989
Pilar,Pilar,AR,81120,America/Argentina/Buenos_Aires,-34.45867,-58.91398
Paso de los Libres,Paso de los Libres,AR,43805,America/Argentina/Cordoba,-29.71251,-57.08771
Oberá,Obera,AR,56528,America/Argentina/Cordoba,-27.48683,-55.11994
Nogoyá,Nogoya,AR,43195,America/Argentina/Cordoba,-32.39375,-59.78955
Necochea,Necochea,AR,73557,America/Argentina/Buenos_Aires,-38.5545,-58.73961
Muñiz,Muniz,AR,26844,America/Argentina/Buenos_Aires,-34.55622,-58.70739
Morón,Moron,AR,99066,America/Argentina/Buenos_Aires,-34.65118,-58.62205
Monte Caseros,Monte Caseros,AR,24671,America/Argentina/Cordoba,-30.2518,-57.63537
Montecarlo,Montecarlo,AR,22229,America/Argentina/Cordoba,-26.56849,-54.7579
Merlo,Merlo,AR,268961,America/Argentina/Buenos_Aires,-34.66536,-58.72744
Mercedes,Mercedes,AR,63284,America/Argentina/Buenos_Aires,-34.65072,-59.43143
Mercedes,Mercedes,AR,30649,America/Argentina/Cordoba,-29.18416,-58.07519
Haedo,Haedo,AR,37745,America/Argentina/Buenos_Aires,-34.64239,-58.59212
Mar del Plata,Mar del Plata,AR,593337,America/Argentina/Buenos_Aires,-38.00042,-57.5562
Luján,Lujan,AR,97363,America/Argentina/Buenos_Aires,-34.5664,-59.11478
Los Polvorines,Los Polvorines,AR,53354,America/Argentina/Buenos_Aires,-34.50316,-58.70596
Lomas de Zamora,Lomas de Zamora,AR,111897,America/Argentina/Buenos_Aires,-34.7574,-58.40279
La Plata,La Plata,AR,195443,America/Argentina/Buenos_Aires,-34.92126,-57.95442
La Paz,La Paz,AR,24716,America/Argentina/Cordoba,-30.74179,-59.64517
Jardín América,Jardin America,AR,24905,America/Argentina/Cordoba,-27.04346,-55.22698
Ituzaingó,Ituzaingo,AR,168419,America/Argentina/Cordoba,-27.58504,-56.68707
Hurlingham,Hurlingham,AR,60000,America/Argentina/Buenos_Aires,-34.5904,-58.62904
Gualeguaychú,Gualeguaychu,AR,78676,America/Argentina/Cordoba,-33.00777,-58.51836
Gualeguay,Gualeguay,AR,33120,America/Argentina/Cordoba,-33.14091,-59.31257
Goya,Goya,AR,70245,America/Argentina/Cordoba,-29.13995,-59.26343
Gobernador Virasora,Gobernador Virasora,AR,28756,America/Argentina/Cordoba,-28.05,-56.03333
General Pacheco,General Pacheco,AR,43287,America/Argentina/Buenos_Aires,-34.45256,-58.64312
General José de San Martín,General Jose de San Martin,AR,31758,America/Argentina/Cordoba,-26.53643,-59.34138
Garupá,Garupa,AR,28814,America/Argentina/Cordoba,-27.48315,-55.82924
Formosa,Formosa,AR,222226,America/Argentina/Cordoba,-26.18489,-58.17313
Fontana,Fontana,AR,26745,America/Argentina/Cordoba,-27.42039,-59.03731
Federal,Federal,AR,16333,America/Argentina/Cordoba,-30.95619,-58.7797
Esquina,Esquina,AR,26399,America/Argentina/Cordoba,-30.01476,-59.5289
El Soberbio,El Soberbio,AR,19571,America/Argentina/Cordoba,-27.29662,-54.19811
El Palomar,El Palomar,AR,59031,America/Argentina/Buenos_Aires,-34.61771,-58.60153
Don Torcuato,Don Torcuato,AR,71356,America/Argentina/Buenos_Aires,-34.49459,-58.62729
Dolores,Dolores,AR,25190,America/Argentina/Buenos_Aires,-36.31539,-57.67546
Curuzú Cuatiá,Curuzu Cuatia,AR,36390,America/Argentina/Cordoba,-29.79145,-58.0499
Corrientes,Corrientes,AR,346334,America/Argentina/Cordoba,-27.46784,-58.8344
Concordia,Concordia,AR,145210,America/Argentina/Cordoba,-31.39195,-58.01706
Concepción del Uruguay,Concepcion del Uruguay,AR,67895,America/Argentina/Cordoba,-32.48463,-58.23217
Colón,Colon,AR,58219,America/Argentina/Cordoba,-32.22312,-58.14426
Colegiales,Colegiales,AR,57000,America/Argentina/Buenos_Aires,-34.57365,-58.44924
Chascomús,Chascomus,AR,47524,America/Argentina/Buenos_Aires,-35.57681,-58.01215
Chajarí,Chajari,AR,30655,America/Argentina/Cordoba,-30.75482,-57.98196
